lat,lng,Address,Country,State,totalCount
38.9870154,-76.9406503,"College of Computer, Mathematical, and Natural Sciences, University of Maryland College Park, College Park, MD 20740, USA",United States,Maryland,1
41.8181871,12.7152505,"Monte Porzio Catone Province of Rome, Italy",Italy,Lazio,1
51.4818445,7.2162363,"Bochum, Germany",Germany,North Rhine-Westphalia,1
50.7297915,7.0693852,"Argelander-Institut für Astronomie, Bonn University, Dept. of Southeast Asian Studies, Campus Endenich, Auf dem Hügel 71, 53121 Bonn, Germany",Germany,North Rhine-Westphalia,1
53.1670474,8.65081,"Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany",Germany,Bremen,1
53.219231,6.57537,"Groningen, The Netherlands",The Netherlands,Groningen,1
38.1116669,13.3538726,"Piazza del Parlamento, 90134 Palermo, Italy",Italy,Sicilia,1
48.5344,9.07087,"Sand 1, 72076 Tübingen, Germany",Germany,Baden-Wurttemberg,1
47.4979359,18.9690995,"1121 Budapest, Hungary",Hungary,Budapest,1
44.774267,-0.618945,"Gradignan, France",France,Aquitaine,1
47.497912,19.040235,"Budapest, Hungary",Hungary,Budapest,1
45.1946651,5.763592,"Rue de la Piscine, Stendhal University, 38400 Saint-Martin-d'Hères, France",France,Rhone-Alpes,1
-26.690468,27.0931649,"North-West University, Potchefstroom Campus, 11 Hoffman Street, Potchefstroom 2520, South Africa",South Africa,North West,1
39.326837,-82.1021376,"Ohio University, 5 President Street, Athens, OH 45701, USA",United States,Ohio,1
